id;name;adresse;typ;gruppe;lng;lat
27;Spielplatz Reichenauerpromenade;Reichenauer Straße;Skate-/Rollerbladeplatz;Funsport;11.42805432;47.27436269
28;Spielplatz Kärntner Park;Kärntner Straße;Sportplatz;Spielplatz;11.41319012;47.27430842
29;Tennisclub IEV;Reichenauer Straße 144;Tennishalle;Tennis/Squash;11.42578451;47.27414331
30;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42580717;47.27374119
31;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11.42512102;47.27361251
32;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11.42476853;47.273635
33;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11.42477328;47.27342392
34;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42725304;47.27333335
35;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42702847;47.273332
36;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42680343;47.27333062
37;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42657839;47.27332924
38;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42635037;47.27332787
39;Spielplatz Grüngürtel Reichenau West;Gutshofweg;Sportplatz;Spielplatz;11.4189237;47.27342167
40;Sportanlage VS Saggen - Siebererschule;Siebererstraße 7;Sportplatz;Spielplatz;11.40331778;47.2734315
41;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11.42451764;47.27321062
42;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11.42512089;47.2732814
43;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42748199;47.27323947
44;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42748971;47.27297181
45;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42726485;47.27296795
46;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4270392;47.27296399
47;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42681419;47.27296006
48;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.42658917;47.27295613
49;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4263646;47.27295225
50;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11.42487178;47.27301084
51;Sportanlage VS Saggen - Siebererschule;Siebererstraße 7;Sporthalle;Sporthalle;11.40388162;47.27314974
52;Schießstand Hegnerschule;Burghard-Breitner-Straße 20;Schießstandhalle;Sonstiges;11.42467805;47.27274755
53;Fußballplatz An-der-Lan-Straße;An-der-Lan-Straße;Fußballplatz;Fußball/Football;11.44476125;47.27211349
54;Tischtennishalle Hegnerschule;Burghard-Breitner-Straße 20;Sporthalle;Sporthalle;11.42478535;47.27257987
55;Kegelbahn Hegnerschule;Burghard-Breitner-Straße 20;Kegelbahn;Sporthalle;11.42498852;47.27258663
56;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.418535;47.27254901
57;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.41819688;47.27242718
58;Spielplatz Grünbacherpromenade;Sepp-Grünbacher-Promenade;Sportplatz;Spielplatz;11.43781964;47.27215663
59;Tischtennis Verbandsraum VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.41828418;47.27221991
60;Spielplatz Grüner Boden;oberhalb Sadrachstraße 31;Sportplatz;Spielplatz;11.36348664;47.27257354
61;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42442522;47.2718765
62;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4242129;47.27182012
63;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42400017;47.27176366
64;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.42366712;47.27168015
65;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.42345098;47.27162253
66;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42460933;47.27155358
67;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.42323497;47.2715649
68;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42439791;47.27149746
69;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42418486;47.2714411
70;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42386848;47.27134595
71;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42365239;47.27128874
72;Spielplatz Riedgasse;Riedgasse;Sportplatz;Spielplatz;11.38846663;47.27167104
73;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.42479075;47.27125442
74;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42343599;47.27123158
75;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.42459302;47.27119554
76;Fußballplatz Fennerareal;Kaiserjägerstraße;Fußballplatz;Fußball/Football;11.39931439;47.27115427
77;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.42437098;47.27113011
78;Sporthalle VS St. Nikolaus;Innallee 3;Sporthalle;Sporthalle;11.3925928;47.27139617
79;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42377513;47.27101699
80;Sporthalle NMS Olympisches Dorf;Kajetan-Sweth-Straße 14;Sporthalle;Sporthalle;11.44322326;47.27047082
81;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42383056;47.27090501
82;Schießstand Hötting;Schwabeneckweg 7;Schießstandhalle;Sonstiges;11.3754269;47.27114907
83;Turnleistungszentrum NMS Olympisches Dorf;Kajetan-Sweth-Straße 14;Sporthalle;Sporthalle;11.4430417;47.27017176
84;Spielplatz TG Kajetan-Sweth-Straße;Kajetan-Sweth-Straße;Sportplatz;Spielplatz;11.4438414;47.26993582
85;Spielplatz Kindergarten Hötting;Schneeburggasse 30;Sportplatz;Spielplatz;11.381313;47.27059574
86;Spielplatz Waltherpark;Innstraße;Sportplatz;Spielplatz;11.39194325;47.27043231
87;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;11.4178501;47.26934303
88;Sporthalle NMS Pembaurstraße;Pembaurstraße 18;Sporthalle;Sporthalle;11.4107795;47.26943501
89;Sporthalle NMS Gabelsbergerstraße;Gabelsbergerstraße 1;Sporthalle;Sporthalle;11.41049146;47.26938153
90;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;11.4172083;47.26895718
91;SVO Stockschützenverein Olympisches Dorf;Kugelfangweg 48;Bocciabahn;Sonstiges;11.44739369;47.26883399
92;Sporthalle VS Dreiheiligen;Jahnstraße 5;Sporthalle;Sporthalle;11.40342802;47.26906887
93;Spielplatz Durigstraße;Durigstraße;Sportplatz;Spielplatz;11.42460343;47.2687839
94;Spielplatz Andechsstraße;Andechsstraße;Sportplatz;Spielplatz;11.42199853;47.26852032
95;Schießstand Vereinsheim Reichenau;Valiergasse 8a;Schießstandhalle;Sonstiges;11.42800185;47.26803871
96;Sporthalle VS Mariahilf;Dr.-Sigismund-Epp-Weg 3;Sporthalle;Sporthalle;11.38594704;47.26830012
97;Sporthalle VS Pradl-Leitgeb;Pradler Platz 8;Sporthalle;Sporthalle;11.40774554;47.26752907
98;Sporthalle VS Allerheiligen;Karl-Innerebner-Straße 70;Sporthalle;Sporthalle;11.35642716;47.2679814
99;Bocciaanlage Rapoldipark;Pradler Platz;Bocciabahn;Sonstiges;11.4066023;47.26737705
100;Sportanlage Andechsstraße;Andechsstraße 70;Fußballplatz;Fußball/Football;11.42178465;47.26690689
101;Spielplatz Rapoldipark;Stadtpark Rapoldi;Sportplatz;Spielplatz;11.40665394;47.26707204
102;Sportanlage Andechsstraße;Andechsstraße 70;Beachvolleyballplatz;Funsport;11.42123346;47.26690997
103;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11.42087787;47.26695617
104;Spielplatz Lohbach;Lohbachufer;Skate-/Rollerbladeplatz;Funsport;11.34393187;47.26747817
105;Sportanlage Andechsstraße;Andechsstraße 70;Basketballplatz;Funsport;11.42069052;47.26686365
106;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11.42083435;47.26687125
107;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11.42079084;47.26678633
108;Sportanlage Andechsstraße;Andechsstraße 70;Beachsoccerplatz;Funsport;11.42113698;47.26672215
109;Kegelbahn NMS Hötting West;Viktor-Franz-Hess-Straße 9;Kegelbahn;Sporthalle;11.34466389;47.26740414
110;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;11.42150179;47.26638911
111;Spielplatz Lohbach;Lohbachufer;Sportplatz;Spielplatz;11.34250324;47.26696813
112;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;11.4215021;47.26633316
113;Sporthalle NMS Hötting West;Viktor-Franz-Hess-Straße 9;Sporthalle;Sporthalle;11.34478849;47.26688664
114;Eislaufplatz Sparkassenplatz;Sparkassenplatz;Eislaufplatz;Eissport;11.3948224;47.26601637
115;Spielplatz Rapoldipark;Stadtpark Rapoldi;Skate-/Rollerbladeplatz;Funsport;11.40556128;47.26542803
116;Hallenbad Amraser Straße;Amraser Straße 3;Hallenbad;Schwimmen;11.40529259;47.2651672
117;Hallenbad Höttinger Au;Fürstenweg 12;Hallenbad;Schwimmen;11.38068517;47.26520957
118;Hallenbad Amraser Straße;Amraser Straße 3;Hallenbad;Schwimmen;11.40542613;47.26492615
119;Sportanlage NMS Hötting;Fürstenweg 13;Sportplatz;Spielplatz;11.3824415;47.26484751
120;Spielplatz Kranewitterpark;Kranewitterstraße;Sportplatz;Spielplatz;11.42007964;47.26458215
121;Sportanlage NMS Hötting;Fürstenweg 13;Sporthalle;Sporthalle;11.38160237;47.26483582
122;Streetballplatz Prandtauerufer;Prandtauerufer;Streetballplatz;Funsport;11.38274122;47.26465132
123;Spielplatz Ursulinenpark;Ursulinenweg;Basketballplatz;Funsport;11.36548428;47.26350481
124;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sportplatz;Spielplatz;11.36904139;47.2621939
125;Fitness- und Karatecenter Haslwanter;Reimmichlgasse 9;Fitnesscenter;Fitness/Klettern;11.36808345;47.26252394
126;Tennisplatz Kranebitter Allee;Kranebitter Allee;Tennisplatz;Tennis/Squash;11.34927829;47.26263819
127;Innsbrucker Taekwon-do-Center;Andreas-Hofer-Straße 5;Fitnesscenter;Fitness/Klettern;11.39155241;47.26174865
128;Streetballplatz Arthur-Haidl-Promenade;Fischnalerstraße;Streetballplatz;Funsport;11.38003339;47.26162173
129;Sporthalle NMS Müllerstraße;Müllerstraße 38;Sporthalle;Sporthalle;11.38801189;47.26149908
130;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11.40692039;47.26095385
131;Sporthalle NMS Dr.-Fritz-Prior;Leopoldstraße 15;Sporthalle;Sporthalle;11.39678347;47.2610208
132;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11.40832853;47.26059049
133;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11.40707383;47.26057616
134;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11.40868237;47.26026171
135;Sporthalle VS Angergasse;Angergasse 18;Sporthalle;Sporthalle;11.36955012;47.26048398
136;Spielplatz Angergasse;Angergasse;Sportplatz;Spielplatz;11.36996011;47.25994261
137;Eisschützenclub Tivoli;Bleichenweg 54;Bocciabahn;Sonstiges;11.43469069;47.25939484
138;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11.40852489;47.25953316
139;Sporthalle VS Amras;Kirchsteig 8;Sporthalle;Sporthalle;11.42870936;47.25849517
140;Boccia-/Stockschießanlage Wilten West / Besele II;Innerkoflerstraße 11c;Bocciabahn;Sonstiges;11.3843562;47.25863856
141;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sportplatz;Spielplatz;11.3771606;47.25855895
142;Boccia-/Stockschießanlage Wilten West / Besele I;Innerkoflerstraße 11b;Bocciabahn;Sonstiges;11.38413704;47.25857761
143;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sporthalle;Sporthalle;11.37673369;47.25859213
144;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.36039666;47.25877709
145;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35788202;47.25863785
146;Olympiahalle;Olympiastraße 10;Eishalle;Eissport;11.40955116;47.25785443
147;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35767281;47.25858228
148;Tiroler Wasserkraft Arena;Olympiastraße 10;Eishalle;Eissport;11.41060456;47.25796771
149;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.36054365;47.25852252
150;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35746405;47.25852729
151;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.36030675;47.25850801
152;Spielplatz Pechepark;Pechestraße;Sportplatz;Spielplatz;11.39899425;47.25822163
153;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.3599645;47.25848708
154;Fußballplatz Wilten West / Besele;Innerkoflerstraße 11;Fußballplatz;Fußball/Football;11.38394509;47.25801162
155;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.35972746;47.25847269
156;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35725607;47.25847187
157;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.35943676;47.25836506
158;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;11.35582721;47.2582281
159;Tennis- und Squashhallen West;Fürstenweg 172;Squashhalle;Tennis/Squash;11.3561609;47.25828257
160;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35764105;47.25821917
161;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11.35743202;47.25816433
162;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.36029212;47.25806458
163;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.35978555;47.25803379
164;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11.35948279;47.25801515
165;Landessportcenter Tirol;Olympiastraße 10a;Hallenbad;Schwimmen;11.41118473;47.25750684
166;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;11.35616851;47.25791227
167;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;11.40897694;47.25719314
168;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;11.40986416;47.25709014
169;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11.3594366;47.25752228
170;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11.35831481;47.25696799
171;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.3589805;47.25695055
172;Spielplatz Mitterweg Ost;Mitterweg;Sportplatz;Spielplatz;11.37083107;47.25711753
173;Universitätssportanlagen;Fürstenweg 185;Hallenbad;Schwimmen;11.35571043;47.25718508
174;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.35750421;47.25665879
175;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11.35976053;47.25678111
176;Tivoli Stadion;Stadionstraße 1-1b;Fußballplatz;Fußball/Football;11.4111767;47.25600855
177;Universitätssportanlagen;Fürstenweg 185;Schießstandhalle;Sonstiges;11.35491197;47.25695912
178;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.35436709;47.2566212
179;Kletterzentrum Tivoli;Stadionstraße 1;Kletterhalle;Fitness/Klettern;11.41208305;47.25634959
180;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35658559;47.25692336
181;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35666662;47.25682951
182;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35668302;47.25670748
183;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35523398;47.25656782
184;Tivoli Fußballplatz W2;Olympiastraße 10;Fußballplatz;Fußball/Football;11.40982054;47.25582726
185;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35625649;47.25662604
186;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.3557739;47.25667386
187;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11.40356913;47.25600239
188;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11.35582768;47.25652252
189;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35662517;47.25627258
190;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35247971;47.25624513
191;Universitätssportanlagen;Fürstenweg 185;Skate-/Rollerbladeplatz;Funsport;11.35196163;47.25632839
192;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35598809;47.25617582
193;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35539854;47.25614407
194;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.35144559;47.25624767
195;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11.40366197;47.25567118
196;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.35128603;47.256231
197;Fitnessparkour Amras;Tummelplatzweg;Fitnessparkour;Fitness/Klettern;11.42706541;47.25449657
198;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.3511264;47.25621432
199;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35188727;47.25611319
200;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11.35176871;47.25602023
201;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;11.35703161;47.25593996
202;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;11.35650614;47.25590808
203;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;11.35589856;47.25579725
204;Tivoli Beachvolleyballplatz;Olympiastraße 10;Beachvolleyballplatz;Funsport;11.41002448;47.25520912
205;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;11.35695511;47.25574973
206;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;11.35663235;47.25572997
207;Sportplatz Stift Wilten;Klostergasse;Sportplatz;Spielplatz;11.40023047;47.25407834
208;Sportanlage PHT;Pastorstraße 7;Leichtathletikanlage;Sonstiges;11.39600083;47.25272227
209;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;11.3956819;47.25272879
210;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;11.39546211;47.25242478
211;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Fußballplatz;Fußball/Football;11.35548173;47.25247766
212;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Sportplatz;Spielplatz;11.35658748;47.25250561
213;Sporthalle VS Sieglanger;Weingartnerstraße 26;Sporthalle;Sporthalle;11.36649126;47.25233014
214;Sprungschanze Bergisel;Bergisel;Sprungschanze;Wintersport;11.39954474;47.24864898
215;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;11.3559211;47.24881762
216;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;11.35545595;47.24872689
217;Spielplatz Grillhof;Grillhofweg 100;Sportplatz;Spielplatz;11.40730695;47.24060173
218;Sporthalle VS Igls-Vill;Habichtstraße 9;Sporthalle;Sporthalle;11.4068865;47.2321712
219;Schießstand Igls;Igler Straße 58a;Schießstandhalle;Sonstiges;11.40642953;47.2300286
220;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.41339248;47.22893222
221;Eislaufplatz / Beachvolleyballplatz Igls;nahe Bilgeristraße 24;Eislauf-/Beachvolleyballpl.;Funsport;11.41388398;47.22912011
222;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.41858872;47.2272423
223;Reitarena Innsbruck-Igls;Römerstraße 50;Reitanlage;Sonstiges;11.42664377;47.22748556
224;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41036928;47.22685743
225;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41053766;47.226763
226;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41070559;47.2266682
227;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;11.42880511;47.2264329
228;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41013869;47.22658629
229;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.40996362;47.22644365
230;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.40982185;47.22632521
231;Tennis Park Club Igls;Patscher Straße 21;Tennishalle;Tennis/Squash;11.41037733;47.22591626
232;Tennis Park Club Igls;Patscher Straße 21;Squashhalle;Tennis/Squash;11.4107728;47.22600157
233;Fußballplatz Igls;Heiligwasserweg;Fußballplatz;Fußball/Football;11.42090448;47.22539638
234;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41001342;47.22577215
235;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.42345189;47.22378664
236;Olympia Bob- und Rodelbahn;Römerstraße;Bobbahn;Wintersport;11.43473651;47.22103884
237;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.43326391;47.21245533
238;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;11.39895508;47.21732254
239;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;11.3971813;47.21713535
240;Klettergarten Goldbichl (ÖAV);Römerstraße;Klettergarten;Fitness/Klettern;11.41939489;47.21556058
241;Freibad Tivoli;Purtschellerstraße 1;Basketballplatz;Funsport;11.4076565;47.25954503
242;Freibad Tivoli;Purtschellerstraße 1;Sportplatz;Spielplatz;11.40784935;47.25903783
243;Freibad Tivoli;Purtschellerstraße 1;Skate-/Rollerbladeplatz;Funsport;11.40828157;47.25897916
244;Hypoxi Studio Innsbruck;Viaduktbogen 53;Fitnesscenter;Fitness/Klettern;11.40429964;47.27092478
245;Fitnesscenter Lhotka;Innrain 11;Fitnesscenter;Fitness/Klettern;11.39138484;47.26663204
246;Fitnesscenter Kleewein;Grabenweg 67b;Fitnesscenter;Fitness/Klettern;11.43863963;47.26525031
247;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.3917841;47.26096422
248;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.39181781;47.26080404
249;Alfa Sports and SPA;Innrain 143;Fitnesscenter;Fitness/Klettern;11.37745626;47.25615623
250;Baggersee Minigolf;Archenweg;Minigolfanlage;Golf/Minigolf;11.44721022;47.26718414
251;Baggersee Minigolf;Archenweg;Skate-/Rollerbladeplatz;Funsport;11.44787038;47.26704848
252;Baggersee;Archenweg;Beachvolleyballplatz;Funsport;11.44671826;47.26690523
253;Baggersee;Archenweg;Bocciabahn;Sonstiges;11.44708842;47.26692432
254;Baggersee;Archenweg;Freibad;Schwimmen;11.44688026;47.26577101
